epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9867.79,1.02514,0.53753,0.00593,0.90328,0.88817,0.94381,0.73469,0.92383,0.46514,0.00474,0.000918991,0.000918991,0.000918991
43,10101.4,1.03122,0.54056,0.00582,0.88978,0.89911,0.94318,0.73489,0.92014,0.47632,0.00468,0.000897557,0.000897557,0.000897557
44,10334.4,1.027,0.53835,0.00579,0.89849,0.89597,0.94276,0.73655,0.90992,0.47219,0.00454,0.00087595,0.00087595,0.00087595
45,10569,1.00563,0.50742,0.0055,0.89754,0.89979,0.94562,0.74058,0.90392,0.45561,0.00439,0.00085419,0.00085419,0.00085419
46,10801.4,1.00406,0.50899,0.00552,0.90344,0.90145,0.94432,0.74163,0.90466,0.45578,0.00455,0.0008323,0.0008323,0.0008323
47,11075.6,1.00617,0.52168,0.00561,0.90389,0.89656,0.94458,0.74011,0.89626,0.46608,0.00438,0.0008103,0.0008103,0.0008103
48,11306.9,0.99805,0.50694,0.0053,0.90409,0.89895,0.94663,0.74257,0.89423,0.4569,0.00439,0.000788213,0.000788213,0.000788213
49,11538.1,0.97926,0.50133,0.00533,0.9031,0.89601,0.9493,0.74475,0.88963,0.44493,0.00426,0.00076606,0.00076606,0.00076606
50,11769.8,0.97125,0.49845,0.00529,0.90781,0.89553,0.94788,0.74322,0.90572,0.45804,0.00432,0.000743864,0.000743864,0.000743864
51,12001.1,0.96807,0.4963,0.00528,0.90169,0.90324,0.95015,0.74587,0.89352,0.44815,0.00429,0.000721645,0.000721645,0.000721645
52,12232.1,0.95406,0.48431,0.00519,0.89708,0.9068,0.94961,0.74635,0.88838,0.44909,0.00419,0.000699426,0.000699426,0.000699426
53,12463.9,0.94414,0.47436,0.00504,0.9034,0.90148,0.95026,0.74801,0.88621,0.44894,0.00408,0.00067723,0.00067723,0.00067723
54,12694.6,0.9414,0.4702,0.00505,0.90671,0.90092,0.94803,0.74821,0.88312,0.44952,0.00413,0.000655077,0.000655077,0.000655077
55,12925.9,0.93464,0.46949,0.00481,0.91103,0.893,0.94906,0.74925,0.87591,0.44914,0.0041,0.00063299,0.00063299,0.00063299
56,13157.7,0.92304,0.46195,0.00482,0.89929,0.90622,0.95203,0.7543,0.87556,0.45171,0.00408,0.00061099,0.00061099,0.00061099
57,13388.5,0.9125,0.45837,0.00483,0.90744,0.90145,0.95064,0.75616,0.87137,0.44741,0.00406,0.0005891,0.0005891,0.0005891
58,13619.7,0.91257,0.4645,0.0049,0.90438,0.90474,0.95121,0.7539,0.87167,0.44321,0.00398,0.00056734,0.00056734,0.00056734
59,13851.8,0.90151,0.44721,0.00487,0.90821,0.90279,0.95178,0.7551,0.86526,0.44539,0.00388,0.000545733,0.000545733,0.000545733
60,14082.2,0.89709,0.44221,0.00473,0.90226,0.90621,0.95129,0.75525,0.86452,0.43717,0.00386,0.000524299,0.000524299,0.000524299
61,14313.5,0.888,0.44599,0.00468,0.90442,0.90757,0.95238,0.75682,0.86323,0.43198,0.00396,0.00050306,0.00050306,0.00050306
62,14552.1,0.88577,0.43413,0.0046,0.90771,0.90611,0.953,0.75892,0.8581,0.43172,0.0039,0.000482037,0.000482037,0.000482037
63,14783.6,0.87642,0.43471,0.00455,0.90668,0.90705,0.95291,0.75981,0.85675,0.43156,0.00386,0.00046125,0.00046125,0.00046125
64,15015.5,0.8751,0.42535,0.00455,0.90439,0.91209,0.95283,0.75852,0.86476,0.43918,0.00396,0.00044072,0.00044072,0.00044072
65,15246.8,0.87919,0.43106,0.00455,0.91004,0.91177,0.95522,0.7614,0.85798,0.43166,0.0039,0.000420468,0.000420468,0.000420468
66,15478.5,0.8567,0.42216,0.00442,0.91244,0.91021,0.95406,0.76194,0.85562,0.42573,0.00383,0.000400513,0.000400513,0.000400513
67,15710,0.85593,0.41437,0.00436,0.91232,0.9081,0.95478,0.7633,0.85601,0.4278,0.00381,0.000380874,0.000380874,0.000380874
68,15940.9,0.8506,0.40902,0.00427,0.91688,0.90077,0.95514,0.76409,0.85451,0.4349,0.00378,0.000361572,0.000361572,0.000361572
69,16181.8,0.85576,0.41108,0.00438,0.91507,0.91057,0.95491,0.76438,0.84674,0.43972,0.00375,0.000342625,0.000342625,0.000342625
70,16445.4,0.84672,0.41409,0.0043,0.91311,0.9084,0.95487,0.76448,0.85054,0.43148,0.00385,0.000324053,0.000324053,0.000324053
71,16676.7,0.84235,0.4061,0.00414,0.9126,0.90609,0.95572,0.76571,0.85196,0.4285,0.00387,0.000305872,0.000305872,0.000305872
72,16908.2,0.83578,0.40295,0.00418,0.91257,0.91193,0.95507,0.76503,0.85239,0.42611,0.00389,0.000288102,0.000288102,0.000288102
73,17119.8,0.83105,0.40088,0.00411,0.9111,0.91225,0.9542,0.76622,0.84899,0.43719,0.00385,0.00027076,0.00027076,0.00027076
74,17350.9,0.83453,0.39936,0.00405,0.91244,0.91401,0.95452,0.76668,0.84769,0.43824,0.00385,0.000253863,0.000253863,0.000253863
75,17581.9,0.82921,0.39349,0.00418,0.91428,0.91222,0.9551,0.76721,0.84453,0.4309,0.0038,0.000237427,0.000237427,0.000237427
76,17813.2,0.82378,0.3845,0.00413,0.91297,0.91119,0.95546,0.76797,0.84419,0.43089,0.00373,0.000221469,0.000221469,0.000221469
77,18044.1,0.81156,0.38709,0.00406,0.91201,0.91505,0.95534,0.76801,0.84187,0.43131,0.00373,0.000206005,0.000206005,0.000206005
78,18275,0.8169,0.38786,0.00399,0.91209,0.91161,0.95578,0.7691,0.83953,0.42774,0.0037,0.00019105,0.00019105,0.00019105
79,18506.7,0.80735,0.38467,0.004,0.91092,0.91508,0.95469,0.7686,0.8388,0.43432,0.00363,0.000176619,0.000176619,0.000176619
80,18737.7,0.81406,0.38628,0.00403,0.9123,0.91636,0.9556,0.7699,0.83859,0.43464,0.00365,0.000162725,0.000162725,0.000162725
81,18983.9,0.73687,0.30729,0.00367,0.90843,0.91884,0.95559,0.76872,0.83887,0.43168,0.00362,0.000149383,0.000149383,0.000149383
82,19215.5,0.72897,0.30747,0.00363,0.90936,0.91742,0.95534,0.76982,0.83701,0.43307,0.0036,0.000136605,0.000136605,0.000136605
83,19446.1,0.72591,0.30061,0.00354,0.90987,0.91846,0.95581,0.76928,0.83867,0.43305,0.0036,0.000124405,0.000124405,0.000124405
84,19677.6,0.71856,0.29554,0.00353,0.91044,0.91791,0.95545,0.76899,0.83832,0.43601,0.00361,0.000112795,0.000112795,0.000112795
85,19908.4,0.71741,0.29564,0.00343,0.90945,0.91832,0.95528,0.76988,0.83772,0.43407,0.00361,0.000101785,0.000101785,0.000101785
86,20139.2,0.71398,0.29361,0.0034,0.91116,0.9127,0.95515,0.77015,0.83657,0.43619,0.0036,9.13871e-05,9.13871e-05,9.13871e-05
87,20370.4,0.71307,0.29159,0.00336,0.91142,0.91326,0.95511,0.77057,0.83656,0.4393,0.00361,8.16111e-05,8.16111e-05,8.16111e-05
88,20600.1,0.70511,0.2854,0.00336,0.90979,0.91538,0.95536,0.7704,0.83521,0.43918,0.00358,7.24667e-05,7.24667e-05,7.24667e-05
89,20830.9,0.70913,0.28841,0.00337,0.90931,0.91439,0.95557,0.77122,0.83462,0.44346,0.00359,6.3963e-05,6.3963e-05,6.3963e-05
90,21062.5,0.70688,0.28515,0.00323,0.90935,0.91751,0.95605,0.77142,0.83384,0.43802,0.00357,5.61083e-05,5.61083e-05,5.61083e-05
91,21293.3,0.7012,0.28418,0.0033,0.90912,0.9185,0.9566,0.77181,0.83401,0.43722,0.0036,4.89104e-05,4.89104e-05,4.89104e-05
92,21524.3,0.70352,0.2849,0.00327,0.90966,0.91689,0.95611,0.77159,0.83341,0.43871,0.00357,4.23765e-05,4.23765e-05,4.23765e-05
93,21755.3,0.70214,0.28439,0.00323,0.91075,0.91609,0.95587,0.77138,0.83452,0.43872,0.00356,3.65129e-05,3.65129e-05,3.65129e-05
94,21985.5,0.69755,0.28194,0.00323,0.90824,0.91904,0.95568,0.77128,0.83427,0.43909,0.00357,3.13254e-05,3.13254e-05,3.13254e-05
95,22216.7,0.70378,0.28154,0.00321,0.90844,0.92019,0.95589,0.77162,0.83452,0.43745,0.00358,2.68192e-05,2.68192e-05,2.68192e-05
96,22447.8,0.70248,0.28763,0.00332,0.90713,0.92045,0.95559,0.77136,0.83402,0.43984,0.00357,2.29987e-05,2.29987e-05,2.29987e-05
97,22678.6,0.69608,0.28335,0.0032,0.90917,0.91915,0.95565,0.77166,0.83366,0.43906,0.00357,1.98677e-05,1.98677e-05,1.98677e-05
98,22910.4,0.70256,0.28293,0.00321,0.91036,0.91899,0.95616,0.772,0.83373,0.43979,0.00357,1.74293e-05,1.74293e-05,1.74293e-05
99,23140.8,0.69769,0.28292,0.0032,0.91151,0.91848,0.95614,0.77218,0.8322,0.4391,0.00356,1.56858e-05,1.56858e-05,1.56858e-05
100,23374.9,0.69032,0.27669,0.00314,0.91278,0.91566,0.95565,0.77217,0.83358,0.44149,0.00358,1.4639e-05,1.4639e-05,1.4639e-05
